"date","site","habitat","common_name","count"
"24-2-2000","A","pool","Southern Redbelly Dace",611
"24-2-2000","A","pool","Suckermouth Minnows",0
"24-2-2000","A","pool","Water Nymph Crayfish",0
"24-2-2000","A","pool","Western Mosquitofish",0
"24-2-2000","A","pool","White Sucker",10
"24-2-2000","A","riffle","Bluegill",0
"24-2-2000","A","riffle","Bluntnose Minnow",0
"24-2-2000","A","riffle","Carmine Shiner",0
"24-2-2000","A","riffle","Central Stoneroller",0
"24-2-2000","A","riffle","Common Shiner",0
"24-2-2000","A","riffle","Creek Chub",0
"24-2-2000","A","riffle","Fathead Minnow",0
"24-2-2000","A","riffle","Green Sunfish",0
"24-2-2000","A","riffle","Johnny Darter",0
"24-2-2000","A","riffle","Longear Sunfish",0
"24-2-2000","A","riffle","Orangespotted Sunfish",0
"24-2-2000","A","riffle","Orangethroated Darter",4
"24-2-2000","A","riffle","Red Shiner",0
"24-2-2000","A","riffle","Ringed Crayfish",0
"24-2-2000","A","riffle","Sand Shiner",0
"24-2-2000","A","riffle","Slender Madtom",0
"24-2-2000","A","riffle","Southern Redbelly Dace",0
"24-2-2000","A","riffle","Suckermouth Minnows",0
"24-2-2000","A","riffle","Water Nymph Crayfish",0
"24-2-2000","A","riffle","Western Mosquitofish",0
"24-2-2000","A","riffle","White Sucker",0
"24-2-2000","C","pool","Bluegill",0
"24-2-2000","C","pool","Bluntnose Minnow",0
"24-2-2000","C","pool","Carmine Shiner",0
"24-2-2000","C","pool","Central Stoneroller",15
"24-2-2000","C","pool","Common Shiner",0
"24-2-2000","C","pool","Creek Chub",0
"24-2-2000","C","pool","Fathead Minnow",0
"24-2-2000","C","pool","Green Sunfish",0
"24-2-2000","C","pool","Johnny Darter",0
"24-2-2000","C","pool","Longear Sunfish",0
"24-2-2000","C","pool","Orangespotted Sunfish",0
"24-2-2000","C","pool","Orangethroated Darter",2
"24-2-2000","C","pool","Red Shiner",0
"24-2-2000","C","pool","Ringed Crayfish",0
"24-2-2000","C","pool","Sand Shiner",0
"24-2-2000","C","pool","Slender Madtom",0
"24-2-2000","C","pool","Southern Redbelly Dace",17
"24-2-2000","C","pool","Suckermouth Minnows",0
"24-2-2000","C","pool","Water Nymph Crayfish",0
"24-2-2000","C","pool","Western Mosquitofish",0
"24-2-2000","C","pool","White Sucker",0
"2-5-2000","A","pool","Bluegill",0
"2-5-2000","A","pool","Bluntnose Minnow",0
"2-5-2000","A","pool","Carmine Shiner",0
"2-5-2000","A","pool","Central Stoneroller",51
"2-5-2000","A","pool","Common Shiner",0
"2-5-2000","A","pool","Creek Chub",23
"2-5-2000","A","pool","Fathead Minnow",0
"2-5-2000","A","pool","Green Sunfish",17
"2-5-2000","A","pool","Johnny Darter",1
"2-5-2000","A","pool","Longear Sunfish",0
"2-5-2000","A","pool","Orangespotted Sunfish",0
"2-5-2000","A","pool","Orangethroated Darter",32
"2-5-2000","A","pool","Red Shiner",2
"2-5-2000","A","pool","Ringed Crayfish",0
"2-5-2000","A","pool","Sand Shiner",0
"2-5-2000","A","pool","Slender Madtom",0
"2-5-2000","A","pool","Southern Redbelly Dace",119
"2-5-2000","A","pool","Suckermouth Minnows",0
"2-5-2000","A","pool","Water Nymph Crayfish",0
"2-5-2000","A","pool","Western Mosquitofish",0
"2-5-2000","A","pool","White Sucker",4
"2-5-2000","A","riffle","Bluegill",0
"2-5-2000","A","riffle","Bluntnose Minnow",0
"2-5-2000","A","riffle","Carmine Shiner",0
"2-5-2000","A","riffle","Central Stoneroller",5
"2-5-2000","A","riffle","Common Shiner",0
"2-5-2000","A","riffle","Creek Chub",0
"2-5-2000","A","riffle","Fathead Minnow",0
"2-5-2000","A","riffle","Green Sunfish",0
"2-5-2000","A","riffle","Johnny Darter",0
"2-5-2000","A","riffle","Longear Sunfish",0
"2-5-2000","A","riffle","Orangespotted Sunfish",0
"2-5-2000","A","riffle","Orangethroated Darter",28
"2-5-2000","A","riffle","Red Shiner",0
"2-5-2000","A","riffle","Ringed Crayfish",0
"2-5-2000","A","riffle","Sand Shiner",0
"2-5-2000","A","riffle","Slender Madtom",0
"2-5-2000","A","riffle","Southern Redbelly Dace",5
"2-5-2000","A","riffle","Suckermouth Minnows",0
"2-5-2000","A","riffle","Water Nymph Crayfish",0
"2-5-2000","A","riffle","Western Mosquitofish",0
"2-5-2000","A","riffle","White Sucker",0
"2-5-2000","B","pool","Bluegill",0
"2-5-2000","B","pool","Bluntnose Minnow",0
"2-5-2000","B","pool","Carmine Shiner",0
"2-5-2000","B","pool","Central Stoneroller",2
"2-5-2000","B","pool","Common Shiner",0
"2-5-2000","B","pool","Creek Chub",0
"2-5-2000","B","pool","Fathead Minnow",0
"2-5-2000","B","pool","Green Sunfish",0
"2-5-2000","B","pool","Johnny Darter",0
"2-5-2000","B","pool","Longear Sunfish",0
"2-5-2000","B","pool","Orangespotted Sunfish",0
"2-5-2000","B","pool","Orangethroated Darter",0
"2-5-2000","B","pool","Red Shiner",0
"2-5-2000","B","pool","Ringed Crayfish",0
"2-5-2000","B","pool","Sand Shiner",0
"2-5-2000","B","pool","Slender Madtom",0
"2-5-2000","B","pool","Southern Redbelly Dace",0
"2-5-2000","B","pool","Suckermouth Minnows",0
"2-5-2000","B","pool","Water Nymph Crayfish",0
"2-5-2000","B","pool","Western Mosquitofish",0
"2-5-2000","B","pool","White Sucker",0
"2-5-2000","B","riffle","Bluegill",0
"2-5-2000","B","riffle","Bluntnose Minnow",0
"2-5-2000","B","riffle","Carmine Shiner",0
"2-5-2000","B","riffle","Central Stoneroller",1
"2-5-2000","B","riffle","Common Shiner",0
